source,method,family_committed,n_pr_committed,auc_committed,ci_lo_committed,ci_hi_committed,rank_committed,family_rebuilt,n_pr_rebuilt,auc_rebuilt,ci_lo_rebuilt,ci_hi_rebuilt,rank_rebuilt
co_edited,oracle,reference,708,0.7734787659178549,0.7498087732947746,0.7959524649721131,1.0,reference,708,0.7734787659178549,0.7498087732947746,0.7959524649721131,1.0
co_edited,rrf_pprpl_issue_path,fusion,708,0.4858258928571428,0.4550101464053588,0.5167929490536837,2.0,fusion,708,0.4858258928571428,0.4550101464053588,0.5167929490536837,2.0
co_edited,rrf_hops_issue_path,fusion,708,0.479524491450692,0.4479512969677803,0.5102800944720636,3.0,fusion,708,0.479524491450692,0.4479512969677803,0.5102800944720636,3.0
co_edited,rrf_hops_path,fusion,708,0.4571170513481601,0.4250878129856886,0.4886167872025266,4.0,fusion,708,0.4571170513481601,0.4250878129856886,0.4886167872025266,4.0
co_edited,rrf_ppr_issue_path,fusion,708,0.4445339590246017,0.4138339858082993,0.4750118206897623,5.0,fusion,708,0.4445339590246017,0.4138339858082993,0.4750118206897623,5.0
co_edited,path_issue,lexical,708,0.4342253964517383,0.4052364555343224,0.4646219310719656,6.0,lexical,708,0.4342253964517383,0.4052364555343224,0.4646219310719656,6.0
co_edited,bm25_issue,lexical,708,0.4072061222087705,0.3788094164606456,0.4349810865134722,7.0,lexical,708,0.4072061222087705,0.3788094164606456,0.4349810865134722,7.0
co_edited,bm25_seed,lexical,708,0.393077554703614,0.3617402098637894,0.4246866482785785,8.0,lexical,708,0.393077554703614,0.3617402098637894,0.4246866482785785,8.0
co_edited,rrf_ppr_issue,fusion,708,0.3930514453113323,0.3625878898214629,0.4248421114687592,9.0,fusion,708,0.3930514453113323,0.3625878898214629,0.4248421114687592,9.0
co_edited,hops_lines,structure,708,0.3889406639539054,0.3543917905620837,0.4232821128231048,10.0,structure,708,0.3889406639539054,0.3543917905620837,0.4232821128231048,10.0
co_edited,ppr_und_pl,structure,708,0.3714151197202044,0.3375787042274011,0.4034914205864778,11.0,structure,708,0.3714151197202044,0.3375787042274011,0.4034914205864778,11.0
co_edited,path_seed,lexical,708,0.3706677558813858,0.3376335795842912,0.4037874606636351,12.0,lexical,708,0.3706677558813858,0.3376335795842912,0.4037874606636351,12.0
co_edited,bfs_und,structure,708,0.3620975230173676,0.3295015381974533,0.3947188487470605,13.0,structure,708,0.3620975230173676,0.3295015381974533,0.3947188487470605,13.0
co_edited,ppr_und,structure,708,0.3573817183810122,0.3247438360479855,0.3905583814508631,14.0,structure,708,0.3573817183810122,0.3247438360479855,0.3905583814508631,14.0
co_edited,bm25_issue_pl,lexical,708,0.3540413275715182,0.3180901443717646,0.3889443097537998,15.0,lexical,708,0.3540413275715182,0.3180901443717646,0.3889443097537998,15.0
co_edited,same_dir,reference,708,0.3287003407766119,0.2977327910578053,0.360406284229752,16.0,reference,708,0.3287003407766119,0.2977327910578053,0.360406284229752,16.0
co_edited,ppr_out_pl,structure,708,0.3267960132499327,0.2957273678032392,0.3577928950737872,17.0,structure,708,0.3267960132499327,0.2957273678032392,0.3577928950737872,17.0
co_edited,ppr_out,structure,708,0.3124159268227065,0.2819281044521436,0.3436725455212987,18.0,structure,708,0.3124159268227065,0.2819281044521436,0.3436725455212987,18.0
co_edited,ppr_in_pl,structure,708,0.3104886893552147,0.2789746568022415,0.3411543145408438,19.0,structure,708,0.3104886893552147,0.2789746568022415,0.3411543145408438,19.0
co_edited,ppr_in,structure,708,0.307882374151795,0.2778467820564854,0.3391721820603262,20.0,structure,708,0.307882374151795,0.2778467820564854,0.3391721820603262,20.0
